36678	CHINA TELECOM (AMERICAS) CORPORATION	US	ctamericas.com	US:100.0:4
4809	China Telecom Next Generation Carrier Network	CN	chinatelecom.com.cn	CN:66.9:194;HK:20.0:58;DE:2.4:7;US:2.1:6;FR:1.0:3;SG:1.0:3;KE:1.0:3;KZ:0.7:2;RU:0.7:2;TR:0.7:2;JP:0.7:2;KR:0.7:2;SE:0.3:1;AE:0.3:1;IT:0.3:1;GB:0.3:1;AU:0.3:1;PH:0.3:1
4134	CHINANET-BACKBONE	CN	chinatelecom.com.cn	CN:96.0:699;HK:1.0:7;AU:1.0:7;US:0.5:4;DE:0.5:4;NL:0.3:2;KE:0.3:2;ZA:0.1:1;JP:0.1:1;FR:0.1:1
